method,feature,fclass,ccc,ccc_precision,ccc_accuracy,icc
zero_filled,original_firstorder_10Percentile,firstorder,0.8600911125735906,0.9402261635171647,0.9147704519901813,0.8612961424239034
zero_filled,original_firstorder_90Percentile,firstorder,0.9859088115455446,0.9864789512181266,0.9994220457802185,0.98604775739329
zero_filled,original_firstorder_Energy,firstorder,0.8258304331013051,0.9048632121177781,0.9126577609100701,0.8272712879205543
zero_filled,original_firstorder_Entropy,firstorder,0.5959256802461876,0.7167242968079589,0.8314573440585643,0.5983434324004538
zero_filled,original_firstorder_InterquartileRange,firstorder,0.7776853216858176,0.8443230932949845,0.9210755075416548,0.7794180824886255
zero_filled,original_firstorder_Kurtosis,firstorder,0.7181542262484453,0.774950139737275,0.9267102351796661,0.7201840345129551
zero_filled,original_firstorder_Mean,firstorder,0.9858013327210143,0.9942615031176469,0.9914910007376283,0.985941323249069
zero_filled,original_firstorder_MeanAbsoluteDeviation,firstorder,0.8146691477291272,0.9015374876847054,0.9036442287290013,0.8161817843862106
zero_filled,original_firstorder_Median,firstorder,0.974073883521951,0.9819604343235763,0.9919685656102245,0.9743264885422473
zero_filled,original_firstorder_Range,firstorder,0.3777749276384774,0.6964651455129587,0.5424175639977499,0.3801402556190799
zero_filled,original_firstorder_RobustMeanAbsoluteDeviation,firstorder,0.816524311323314,0.882126504170265,0.925631763089743,0.81802518867178
zero_filled,original_firstorder_RootMeanSquared,firstorder,0.9889288974214219,0.9960425018748359,0.9928581316158456,0.9890383948766606
zero_filled,original_firstorder_Skewness,firstorder,0.851147112070161,0.8841020441073288,0.9627249679414074,0.8524159578405823
zero_filled,original_firstorder_Uniformity,firstorder,0.45334750644050203,0.5129313509529398,0.8838366101004723,0.45583936368873573
zero_filled,original_firstorder_Variance,firstorder,0.7996254968250008,0.9030794632604072,0.885443119189197,0.8012309593791427
zero_filled,original_glcm_Autocorrelation,glcm,0.86881189679266,0.8780073883112716,0.989526863166496,0.8699531718576129
zero_filled,original_glcm_ClusterProminence,glcm,0.7087406349425003,0.8017516462631407,0.8839902459144893,0.7108109383683533
zero_filled,original_glcm_ClusterShade,glcm,0.813338478914708,0.8448325285340249,0.9627215471047662,0.8148595080671761
zero_filled,original_glcm_Contrast,glcm,0.16653860771181841,0.9753716390325563,0.1707437463293513,0.16793830867750972
zero_filled,original_glcm_Correlation,glcm,0.20890206801000316,0.9676987221245354,0.21587510992198977,0.2105678660437115
zero_filled,original_glcm_Dissimilarity,glcm,0.2850573847567686,0.9818950878755162,0.290313484889241,0.2871100569062409
zero_filled,original_glcm_Energy,glcm,0.3862784643067125,0.8607879163917698,0.4487498685226732,0.3886637776113527
zero_filled,original_glcm_Homogeneity,glcm,0.37367613263750593,0.9736888684271902,0.38377365168106414,0.37603130645861127
zero_filled,original_glcm_JointEntropy,glcm,0.33019969752147077,0.9447523221961089,0.3495092732388425,0.33242628981617856
zero_filled,original_glcm_MaximumProbability,glcm,0.4678116129880194,0.7889811571891248,0.592931287047051,0.47031457252542563
unet,original_firstorder_10Percentile,firstorder,0.8934487065713099,0.9328455775753275,0.957766996005471,0.8944017031544695
unet,original_firstorder_90Percentile,firstorder,0.9871172113841317,0.9906947400807494,0.99638886878886,0.9872443959927899
unet,original_firstorder_Energy,firstorder,0.9439381108219045,0.9519710981581622,0.991561731914131,0.9444675971995691
unet,original_firstorder_Entropy,firstorder,0.5513783309800994,0.705322151614674,0.7817397053500229,0.5538630807771693
unet,original_firstorder_InterquartileRange,firstorder,0.8469827035930388,0.8890760009664033,0.9526550066275433,0.8482807198164447
unet,original_firstorder_Kurtosis,firstorder,0.699858001945708,0.8382325088517432,0.834921092364232,0.7019648934024082
unet,original_firstorder_Mean,firstorder,0.9938808138583892,0.9974145762339323,0.9964570776688606,0.9939416349971735
unet,original_firstorder_MeanAbsoluteDeviation,firstorder,0.946934847868579,0.9658108011291379,0.9804558478342852,0.9474376070761246
unet,original_firstorder_Median,firstorder,0.9836093767640199,0.9897197513566336,0.9938261567638336,0.9837706229003257
unet,original_firstorder_Range,firstorder,0.8420888214349529,0.8771923044533048,0.9599819984282358,0.8434206769662129
unet,original_firstorder_RobustMeanAbsoluteDeviation,firstorder,0.8955186672396,0.925812800372678,0.9672783384277218,0.8964552956801286
unet,original_firstorder_RootMeanSquared,firstorder,0.995033939680029,0.9980805076782376,0.9969475728913935,0.9950833561197283
unet,original_firstorder_Skewness,firstorder,0.8460884934238824,0.9146368526630001,0.9250540156571033,0.8473927283386867
unet,original_firstorder_Uniformity,firstorder,0.3316048603609197,0.5299975320839817,0.6256724612603943,0.3338362053317161
unet,original_firstorder_Variance,firstorder,0.9737371136849432,0.9833492280266022,0.9902251264680927,0.973992912336227
unet,original_glcm_Autocorrelation,glcm,0.883971171373886,0.918091690560986,0.9628353904758128,0.8849980242147468
unet,original_glcm_ClusterProminence,glcm,0.8010319955458577,0.8324902785498847,0.9622118313996121,0.8026289703914181
unet,original_glcm_ClusterShade,glcm,0.8430306288719841,0.8820713115285542,0.9557397659958852,0.844356009189692
unet,original_glcm_Contrast,glcm,0.15673659246894886,0.9180328215642614,0.17073092463282644,0.1580695350161976
unet,original_glcm_Correlation,glcm,0.16365282177816792,0.8797968661412306,0.1860120535504355,0.16503307121238805
unet,original_glcm_Dissimilarity,glcm,0.27148478486484195,0.9494892299665963,0.2859271872671931,0.2734771072007115
unet,original_glcm_Energy,glcm,0.2797938120578519,0.6757746170660232,0.4140342134669378,0.28182352250601916
unet,original_glcm_Homogeneity,glcm,0.37616797183989537,0.9686174925272468,0.3883555425562521,0.37852935921869113
unet,original_glcm_JointEntropy,glcm,0.33452591604541076,0.8235895022891916,0.4061804031202268,0.3367670132418442
unet,original_glcm_MaximumProbability,glcm,0.358587259863896,0.7084842965498459,0.5061329680984218,0.3609021321187295
unrolled,original_firstorder_10Percentile,firstorder,0.8984134177194506,0.9449932031801478,0.9507088672130719,0.8993270132957845
unrolled,original_firstorder_90Percentile,firstorder,0.9892880324621682,0.992148843332384,0.997116550717726,0.9893940160279863
unrolled,original_firstorder_Energy,firstorder,0.9294691236338789,0.9483042703559272,0.980138076658688,0.9301251490528084
unrolled,original_firstorder_Entropy,firstorder,0.6392157708447856,0.7741604718111491,0.8256889806700409,0.6415303110322415
unrolled,original_firstorder_InterquartileRange,firstorder,0.8563893401663917,0.910181432854514,0.9408995934805882,0.8576209753079043
unrolled,original_firstorder_Kurtosis,firstorder,0.6826245220436488,0.7691249098398906,0.887534018610516,0.6847979026602546
unrolled,original_firstorder_Mean,firstorder,0.9934266326520329,0.9972014218420733,0.9962146171201126,0.9934919385267246
unrolled,original_firstorder_MeanAbsoluteDeviation,firstorder,0.9388811915735934,0.971744595982083,0.9661810268414444,0.9394553755047997
unrolled,original_firstorder_Median,firstorder,0.9880843991941886,0.9915037096592535,0.9965513891357604,0.9882021494174678
unrolled,original_firstorder_Range,firstorder,0.8217950328579869,0.8578856118229774,0.957930779502993,0.8232621268606527
unrolled,original_firstorder_RobustMeanAbsoluteDeviation,firstorder,0.8953218349556938,0.9371627930000251,0.9553535859971659,0.8962600235023226
unrolled,original_firstorder_RootMeanSquared,firstorder,0.9944282177110048,0.9983362669309945,0.9960854379937497,0.9944836281736661
unrolled,original_firstorder_Skewness,firstorder,0.864703019726774,0.9183400905977879,0.9415934560407798,0.8658745218077359
unrolled,original_firstorder_Uniformity,firstorder,0.42623752880822957,0.5547915040535744,0.7682841674645925,0.4286972326441828
unrolled,original_firstorder_Variance,firstorder,0.9650000557608858,0.9828987019953339,0.9817899380698002,0.9653379234958286
unrolled,original_glcm_Autocorrelation,glcm,0.9155252587165988,0.9255262849694168,0.9891942277434634,0.916299300179809
unrolled,original_glcm_ClusterProminence,glcm,0.8687364782728801,0.8919918812596576,0.9739286831244066,0.8698783111788752
unrolled,original_glcm_ClusterShade,glcm,0.8849881646432076,0.9144335433351508,0.9677993235194009,0.8860071777597427
unrolled,original_glcm_Contrast,glcm,0.1964525049174162,0.9570556479088932,0.20526758851133958,0.19804388156691385
unrolled,original_glcm_Correlation,glcm,0.2058084261025036,0.9401356209692149,0.21891354982415132,0.20745602436757538
unrolled,original_glcm_Dissimilarity,glcm,0.3034191610673272,0.9713159698667606,0.3123794629969364,0.30554754673168966
unrolled,original_glcm_Energy,glcm,0.3568772508785237,0.8068979469585776,0.4422830076885102,0.3591872658974588
unrolled,original_glcm_Homogeneity,glcm,0.38994932070154387,0.9767082377184001,0.39924852237600583,0.3923428106832963
unrolled,original_glcm_JointEntropy,glcm,0.3726527009915186,0.9148957290688307,0.4073171282270601,0.37500528652769066
unrolled,original_glcm_MaximumProbability,glcm,0.419774784443055,0.7448998783141215,0.5635318204012882,0.4222246382605378
